"ensemble","ensemble.size","accuracy"
"pda,rfrules,multinom,rf,knn,adabag,glmnet,rfferns,gbm",9,0.514990006662225
"multinom,pda",2,0.500333111259161
"rf,multinom,gbm,pda,glmnet,rfrules,knn,adabag,rfferns",9,0.514323784143904
"pda,rfrules,knn,rfferns,rf,glmnet,gbm,multinom,adabag",9,0.514990006662225
"rf,rfferns,adabag,gbm,pda,knn,rfrules,glmnet,multinom",9,0.513990672884743
"pda,rfrules,gbm,rf,multinom,adabag,glmnet,rfferns,knn",9,0.514990006662225
"glmnet,pda,gbm,knn,rf,adabag,multinom,rfferns",8,0.510326449033977
"rfrules,rf,pda,knn,rfferns,glmnet",6,0.514323784143904
"rf,gbm,glmnet",3,0.516988674217189
"gbm,adabag,pda,glmnet",4,0.503664223850766
"rfferns,rf,gbm,glmnet",4,0.506995336442372
"rfferns,adabag",2,0.167221852098601
"knn,rfferns",2,0.478347768154564
"pda,adabag,rfferns,rf,glmnet",5,0.508994003997335
"rfferns,rf",2,0.167221852098601
"glmnet,adabag,knn,rfferns,rf,multinom,rfrules",7,0.504330446369087
"rfferns,glmnet",2,0.167221852098601
"multinom,pda,rfrules,rf,gbm,adabag,glmnet,knn",8,0.514656895403065
"pda,knn,rfferns,multinom,adabag,glmnet,gbm,rf,rfrules",9,0.514656895403065
"glmnet,knn,multinom,rfrules,adabag,rf",6,0.504330446369087
"glmnet,rf,pda,adabag,gbm",5,0.506329113924051
"gbm,multinom",2,0.508994003997335
"pda,adabag,gbm,knn,glmnet",5,0.506662225183211
"rfrules,adabag",2,0.473017988007995
"gbm,multinom,glmnet,pda,rfrules,rf,adabag,knn",8,0.513990672884743
"rf,glmnet,rfrules",3,0.51199200532978
"knn,pda,rfrules,rfferns",4,0.502664890073284
"rfrules,glmnet,rfferns,gbm",4,0.500333111259161
"multinom,adabag,rf,gbm,pda",5,0.51199200532978
"rfrules,adabag,knn,rf,glmnet,gbm",6,0.512991339107262
"knn,pda,rfrules,rfferns,gbm,multinom,rf,adabag,glmnet",9,0.513990672884743
"multinom,rf,rfrules,pda,knn,adabag,glmnet,gbm,rfferns",9,0.516988674217189
"glmnet,rf,adabag,knn",4,0.503664223850766
"gbm,multinom,adabag,glmnet,rf,rfrules",6,0.515323117921386
"glmnet,multinom,knn,rfferns,pda,adabag",6,0.509993337774817
"multinom,adabag,rfferns,glmnet,knn,rf,rfrules,gbm,pda",9,0.516988674217189
"gbm,glmnet,pda,rfrules,rf,knn",6,0.520319786808794
"rf,adabag,glmnet,gbm,rfferns,pda",6,0.508660892738175
"multinom,adabag,pda,rf",4,0.504663557628248
"adabag,rfrules,multinom",3,0.502664890073284
"pda,knn,gbm,rfrules,adabag,multinom,rf,rfferns,glmnet",9,0.514656895403065
"rfferns,glmnet,pda,rfrules,adabag,knn,rf,multinom",8,0.511325782811459
"gbm,rf,rfferns,rfrules,adabag,pda,knn,multinom,glmnet",9,0.513657561625583
"multinom,pda,rfferns",3,0.5
"gbm,rf,rfrules,rfferns",4,0.513324450366422
"glmnet,rf,rfferns,rfrules,pda",5,0.503331112591606
"rf,rfrules,multinom,knn,gbm",5,0.528314457028648
"rfrules,rfferns",2,0.473017988007995
"adabag,rfferns,glmnet",3,0.488674217188541
"glmnet,pda,rfrules,multinom,knn,rfferns,rf",7,0.510992671552299
"adabag,glmnet,knn,rf",4,0.501665556295803
"rfrules,glmnet,gbm,rf,rfferns",5,0.509660226515656
